nombre,fuente,precioActual
Neumáticos 315/80R22.5 - TBR,Distri Sur Online,45500
Aceite Castrol 15W40 GTX,Distribuidora Veracruz,2850
Filtro de aire Fleetguard,Distri Sur Online,1200
Baterías 24V 140Ah,Distribuidora Veracruz,18900
Pastillas de freno Fremax,Distri Sur Online,3500
Correa de distribución MBQ,Distribuidora Veracruz,8900
Gasolina Súper 95 - por litro,Distri Sur Online,285.50
Bulones M12x1.5 DIN 6921,Distribuidora Veracruz,120
Bujes de goma para ejes,Distri Sur Online,650
Mangueras de radiador,Distribuidora Veracruz,450
